team,p_round32,p_round16,p_quarter,p_semi,p_final,p_champion
Argentina,0.999,0.8623333333333333,0.4836666666666667,0.2755,0.1695,0.11783333333333333
France,0.9985,0.8361666666666666,0.4688333333333333,0.25933333333333336,0.14816666666666667,0.099
Colombia,0.983,0.7991666666666667,0.44533333333333336,0.2345,0.12116666666666667,0.07433333333333333
Portugal,0.8798333333333334,0.7245,0.38916666666666666,0.2045,0.10966666666666666,0.07116666666666667
Brazil,0.9446666666666667,0.7773333333333333,0.42533333333333334,0.21716666666666667,0.11366666666666667,0.07
Germany,0.9943333333333333,0.6888333333333333,0.3815,0.20033333333333334,0.09783333333333333,0.04816666666666667
Spain,0.8291666666666667,0.586,0.3285,0.17266666666666666,0.088,0.04716666666666667
Austria,0.9648333333333333,0.6711666666666667,0.3611666666666667,0.18666666666666668,0.09133333333333334,0.04683333333333333
England,0.9933333333333333,0.645,0.35583333333333333,0.1815,0.0875,0.042666666666666665
Belgium,0.9311666666666667,0.6408333333333334,0.3521666666666667,0.18116666666666667,0.09183333333333334,0.0425
Uruguay,0.7575,0.48733333333333334,0.271,0.14766666666666667,0.07616666666666666,0.035333333333333335
Japan,0.8535,0.5393333333333333,0.2841666666666667,0.14283333333333334,0.07283333333333333,0.03233333333333333
Ivory Coast,0.9818333333333333,0.5206666666666667,0.2575,0.128,0.064,0.027333333333333334
Morocco,0.8443333333333334,0.48433333333333334,0.25016666666666665,0.1285,0.06216666666666667,0.02666666666666667
Switzerland,0.9998333333333334,0.5191666666666667,0.257,0.1335,0.066,0.0265
Netherlands,0.8401666666666666,0.47,0.2465,0.1285,0.063,0.026
Croatia,0.7753333333333333,0.415,0.21816666666666668,0.105,0.05683333333333333,0.024833333333333332
Ecuador,0.735,0.41083333333333333,0.21516666666666667,0.10383333333333333,0.0505,0.021
Canada,1.0,0.4518333333333333,0.21966666666666668,0.10366666666666667,0.04616666666666667,0.016666666666666666
Mexico,1.0,0.42533333333333334,0.19616666666666666,0.09166666666666666,0.043833333333333335,0.0135
Australia,0.9671666666666666,0.39566666666666667,0.175,0.07866666666666666,0.036833333333333336,0.013
Norway,0.9533333333333334,0.4028333333333333,0.1875,0.089,0.041666666666666664,0.013
Algeria,0.5516666666666666,0.26066666666666666,0.13183333333333333,0.06816666666666667,0.03166666666666667,0.011666666666666667
United States,0.9778333333333333,0.3406666666666667,0.14133333333333334,0.056,0.024,0.008166666666666666
Scotland,0.8315,0.2895,0.11983333333333333,0.05416666666666667,0.024666666666666667,0.007166666666666667
Senegal,0.6061666666666666,0.24133333333333334,0.10666666666666667,0.0475,0.02033333333333333,0.006666666666666667
Congo DR,0.6031666666666666,0.21116666666666667,0.09266666666666666,0.0405,0.0155,0.006
Egypt,0.8038333333333333,0.2785,0.11483333333333333,0.049666666666666665,0.017166666666666667,0.004333333333333333
Sweden,0.9201666666666667,0.261,0.09683333333333333,0.036833333333333336,0.014,0.0036666666666666666
Paraguay,0.42733333333333334,0.147,0.0635,0.0255,0.0105,0.0033333333333333335
Cape Verde,0.5943333333333334,0.17783333333333334,0.06983333333333333,0.027833333333333335,0.010833333333333334,0.003
South Africa,0.39866666666666667,0.12583333333333332,0.04633333333333333,0.02,0.007166666666666667,0.0023333333333333335
South Korea,0.8025,0.176,0.05416666666666667,0.016,0.0055,0.0015
Iran,0.45266666666666666,0.10583333333333333,0.033,0.013833333333333333,0.0031666666666666666,0.0013333333333333333
Türkiye,0.3431666666666667,0.08433333333333333,0.027833333333333335,0.009,0.0036666666666666666,0.0013333333333333333
Tunisia,0.19066666666666668,0.05616666666666666,0.0205,0.009833333333333333,0.003833333333333333,0.001
Czechia,0.26216666666666666,0.06466666666666666,0.021,0.008166666666666666,0.003,0.0008333333333333334
Panama,0.17783333333333334,0.0305,0.008666666666666666,0.0021666666666666666,0.0008333333333333334,0.0005
Uzbekistan,0.20866666666666667,0.041666666666666664,0.0115,0.004,0.0015,0.0005
Saudi Arabia,0.42883333333333334,0.087,0.021333333333333333,0.005666666666666667,0.0013333333333333333,0.0003333333333333333
Haiti,0.14333333333333334,0.028,0.008,0.003,0.0011666666666666668,0.00016666666666666666
Bosnia-Herzegovina,0.4545,0.0545,0.009666666666666667,0.0021666666666666666,0.00016666666666666666,0.00016666666666666666
Ghana,0.7443333333333333,0.09133333333333334,0.015833333333333335,0.003,0.001,0.00016666666666666666
Curaçao,0.05383333333333333,0.004666666666666667,0.0005,0.00016666666666666666,0.00016666666666666666,0.0
Qatar,0.277,0.016666666666666666,0.0015,0.0003333333333333333,0.0,0.0
Jordan,0.09033333333333333,0.011333333333333334,0.0013333333333333333,0.0,0.0,0.0
New Zealand,0.3318333333333333,0.04583333333333333,0.008333333333333333,0.0016666666666666668,0.00016666666666666666,0.0
Iraq,0.09783333333333333,0.014333333333333333,0.0036666666666666666,0.0006666666666666666,0.0,0.0
