date,home,away,xg,score,p_H,p_D,p_A,over25,mom
2026-06-20,Netherlands,Sweden,2.0-1.2,1-1,0.551,0.214,0.235,0.619,+0.02/+0.04
2026-06-20,Tunisia,Japan,0.6-1.1,0-1,0.21,0.321,0.47,0.258,-0.13/+0.05
2026-06-20,Germany,Ivory Coast,1.9-1.3,1-1,0.514,0.223,0.263,0.602,+0.18/+0.10
2026-06-20,Ecuador,Curaçao,1.8-0.4,1-0,0.702,0.218,0.08,0.364,+0.02/-0.18
2026-06-21,Belgium,Iran,2.2-0.8,2-0,0.698,0.181,0.121,0.574,+0.18/+0.00
2026-06-21,New Zealand,Egypt,0.7-1.2,0-1,0.217,0.311,0.472,0.281,-0.12/+0.01
2026-06-21,Spain,Saudi Arabia,1.6-0.6,1-0,0.618,0.246,0.137,0.376,+0.04/-0.06
2026-06-21,Uruguay,Cape Verde,1.6-0.5,1-0,0.614,0.255,0.131,0.345,-0.03/+0.01
2026-06-22,France,Iraq,2.0-0.5,1-0,0.731,0.189,0.079,0.443,+0.08/-0.12
2026-06-22,Norway,Senegal,1.3-1.2,1-1,0.391,0.269,0.34,0.449,+0.09/-0.07
2026-06-22,Argentina,Austria,1.8-1.1,1-1,0.52,0.233,0.246,0.543,+0.18/+0.16
2026-06-22,Jordan,Algeria,0.6-1.9,0-1,0.113,0.212,0.675,0.439,-0.10/-0.01
2026-06-23,Portugal,Uzbekistan,1.9-0.4,1-0,0.723,0.198,0.079,0.416,+0.06/-0.09
2026-06-23,Colombia,Congo DR,1.7-0.7,1-0,0.61,0.242,0.148,0.404,+0.09/-0.02
2026-06-23,England,Ghana,2.2-0.8,2-0,0.697,0.184,0.119,0.56,+0.06/-0.11
2026-06-23,Panama,Croatia,0.5-1.6,0-1,0.114,0.241,0.645,0.358,-0.08/-0.09
2026-06-24,Morocco,Haiti,1.8-0.5,1-0,0.68,0.222,0.098,0.386,+0.07/-0.03
2026-06-24,Bosnia-Herzegovina,Qatar,1.6-1.3,1-1,0.437,0.246,0.317,0.535,-0.08/-0.18
2026-06-24,Scotland,Brazil,1.0-2.4,1-2,0.158,0.184,0.659,0.648,+0.04/+0.14
2026-06-24,South Africa,South Korea,0.9-1.1,0-1,0.306,0.303,0.391,0.334,-0.07/-0.05
2026-06-24,Mexico,Czechia,1.9-1.2,1-1,0.549,0.22,0.231,0.592,+0.09/-0.04
2026-06-24,Canada,Switzerland,1.4-1.4,1-1,0.376,0.25,0.374,0.529,+0.15/+0.12
