team,attack,defence,net_strength,rank
Argentina,0.40913638915999184,0.42676886764128963,0.8359052568012815,1
France,0.4431207250111193,0.3489778140630124,0.7920985390741317,2
Portugal,0.3146629138057899,0.4139576090797019,0.7286205228854918,3
Colombia,0.4091353967681046,0.2653825441029029,0.6745179408710076,4
Belgium,0.4095839451708963,0.21781033128257232,0.6273942764534686,5
Brazil,0.4930009912741291,0.13148830928403976,0.6244893005581689,6
Spain,0.4005144268792769,0.1567385693243131,0.55725299620359,7
Germany,0.49379248658186226,0.007852958100542396,0.5016454446824047,8
Japan,0.2419567485692542,0.2573570893426313,0.4993138379118855,9
Austria,0.2646924176050492,0.164694231170782,0.4293866487758312,10
Morocco,0.11107544078153954,0.30758403680717533,0.41865947758871486,11
Netherlands,0.3747352334756288,-0.004046587461683007,0.3706886460139458,12
England,0.2383805393289989,0.10170440883851405,0.34008494816751295,13
Switzerland,0.3017359456058586,0.028552318709378268,0.33028826431523683,14
Ivory Coast,0.09641510131320041,0.23056763604774555,0.32698273736094596,15
Ecuador,-0.33277229673124636,0.6476419980468386,0.3148697013155923,16
Uruguay,0.06035592711223324,0.2544370567557495,0.31479298386798277,17
Croatia,0.18385867022556818,0.08344436224767947,0.26730303247324766,18
Algeria,0.05210703359298095,0.15233578679186624,0.20444282038484718,19
Mexico,-0.02240173218484859,0.1819266967629096,0.159524964578061,20
Norway,0.14138538245905963,-0.016352107652927553,0.12503327480613208,21
Canada,-0.15402359542000735,0.2686409191118755,0.11461732369186814,22
Paraguay,-0.02533639337349247,0.07919098138506296,0.05385458801157049,23
Australia,-0.08126587077459906,0.13344186329323202,0.05217599251863296,24
Senegal,0.09688014436164102,-0.05542752090066797,0.04145262346097305,25
Egypt,-0.022183976574647723,0.05305885573208055,0.030874879157432828,26
Congo DR,-0.09289023371472525,0.09694725149963837,0.004057017784913117,27
United States,0.15574328074781726,-0.18146225433797747,-0.025718973590160205,28
Cape Verde,-0.20574343394904343,0.11641272018651452,-0.08933071376252891,29
Scotland,-0.13828287107722342,0.034266190298851064,-0.10401668077837237,30
South Africa,-0.22549417360865032,-0.011623937344912525,-0.23711811095356283,31
Sweden,0.22568601267259455,-0.48181265114145794,-0.2561266384688634,32
Türkiye,-0.051779486792839696,-0.2642757374268895,-0.3160552242197292,33
South Korea,-0.2442318295858337,-0.11105751078538591,-0.3552893403712196,34
Czechia,-0.13898225288347235,-0.22121632268664018,-0.36019857557011253,35
Iran,-0.3092184384316735,-0.10779140686234076,-0.4170098452940143,36
Uzbekistan,-0.31861619098401145,-0.11407682646988701,-0.43269301745389843,37
Panama,-0.17852682028051725,-0.2862764569723635,-0.46480327725288073,38
Tunisia,-0.32008212287095955,-0.1847230526474528,-0.5048051755184124,39
Bosnia-Herzegovina,-0.16151511016406733,-0.3609895161381673,-0.5225046263022346,40
Ghana,-0.3193185163266446,-0.25966379600413875,-0.5789823123307833,41
Saudi Arabia,-0.6308356530221612,0.04324350455683079,-0.5875921484653304,42
Haiti,-0.3440142441378153,-0.2830119511310467,-0.627026195268862,43
New Zealand,-0.4203214774655246,-0.24314043692325968,-0.6634619143887843,44
Jordan,-0.27289750976891386,-0.4054600730376454,-0.6783575828065593,45
Curaçao,-0.036183034080425766,-0.7393803547361656,-0.7755633888165914,46
Iraq,-0.5817713878451467,-0.215746197947437,-0.7975175857925837,47
Qatar,-0.28905017186604964,-0.6568902118552772,-0.9459403837213268,48
