team,matches,shot_dist,box_share,territory,press_height
Germany,3,17.0,0.676,62.2,0.581
Saudi Arabia,3,18.9,0.633,61.6,0.382
Spain,4,19.0,0.647,61.2,0.533
South Korea,4,20.0,0.562,61.1,0.47
Brazil,5,17.9,0.687,60.6,0.469
France,7,16.2,0.745,60.0,0.379
Denmark,3,17.9,0.686,59.4,0.425
Portugal,5,19.6,0.545,59.3,0.482
United States,4,17.7,0.652,59.2,0.43
Senegal,4,19.2,0.62,59.2,0.39
Argentina,7,17.8,0.691,59.1,0.397
Canada,3,16.7,0.629,58.3,0.502
Mexico,3,22.2,0.439,58.1,0.403
Uruguay,3,20.2,0.606,57.7,0.356
Croatia,7,18.7,0.598,57.4,0.389
Japan,4,17.1,0.646,57.2,0.382
Netherlands,5,16.0,0.688,56.9,0.39
England,5,16.4,0.698,56.8,0.487
Serbia,3,17.4,0.688,56.1,0.409
Ghana,3,18.9,0.52,55.6,0.342
Tunisia,3,19.1,0.594,55.1,0.333
Cameroon,3,18.4,0.75,55.0,0.394
Switzerland,4,16.5,0.676,54.6,0.368
Iran,3,20.4,0.485,54.4,0.356
Poland,4,15.0,0.806,54.1,0.34
Ecuador,3,17.9,0.633,53.6,0.47
Wales,3,20.7,0.5,52.9,0.392
Qatar,3,22.5,0.4,52.3,0.292
Australia,4,19.6,0.538,51.7,0.408
Belgium,3,16.4,0.686,51.4,0.388
Morocco,7,19.3,0.591,50.2,0.33
Costa Rica,3,19.4,0.545,47.4,0.241
