team,squad_overall,avg_caps,avg_age,young_pace,senior_solidity,age_role,prior_strength
Portugal,83.6,44.6,27.5,80.6,64.5,0.376,0.7609
Brazil,83.0,35.2,28.8,79.9,73.8,0.811,0.7465
Argentina,82.2,48.1,28.7,78.3,71.3,0.519,0.6978
France,81.7,30.9,26.6,87.9,66.8,1.215,0.617
Spain,82.5,28.6,26.2,78.2,69.1,0.39,0.5877
England,81.1,32.2,26.7,86.0,66.0,0.986,0.5567
Netherlands,80.4,33.1,27.3,83.7,70.0,0.977,0.5165
Colombia,79.8,40.1,29.6,77.9,65.2,0.15,0.4681
Senegal,79.5,37.9,26.6,88.0,58.9,0.797,0.4333
Germany,80.0,32.5,27.6,75.8,71.3,0.274,0.4254
Uruguay,78.7,35.9,28.2,82.7,66.7,0.701,0.3866
Belgium,79.9,41.7,27.1,75.0,58.8,-0.481,0.3738
Cape Verde,79.3,31.7,29.2,72.3,65.3,-0.393,0.3395
Mexico,78.2,46.7,27.5,81.0,58.0,0.063,0.3117
Croatia,78.2,44.6,27.9,75.0,65.8,-0.102,0.2987
Panama,77.6,59.3,30.0,69.0,66.1,-0.673,0.2823
Morocco,78.2,26.8,26.1,81.8,59.2,0.206,0.22
Switzerland,77.1,43.5,27.8,77.0,64.2,0.007,0.216
Austria,77.2,38.6,28.2,71.4,70.4,-0.205,0.1966
Türkiye,76.9,37.3,27.2,78.6,66.9,0.31,0.1939
Paraguay,76.8,26.5,28.5,79.9,66.3,0.405,0.1745
Congo DR,75.6,30.6,28.5,78.5,70.9,0.517,0.1091
Ivory Coast,76.5,27.0,25.3,83.9,63.0,0.618,0.107
Czechia,76.4,27.8,27.2,75.8,69.4,0.171,0.1018
Ecuador,76.1,29.7,25.6,84.3,58.2,0.397,0.0746
South Africa,77.3,18.6,26.3,80.4,55.2,-0.147,0.072
Algeria,75.2,30.4,26.5,83.4,56.5,0.217,0.0088
United States,74.6,37.0,26.4,83.2,60.9,0.435,0.0056
Scotland,74.5,37.4,28.7,72.3,68.3,-0.231,-0.0135
Norway,75.0,30.8,26.3,82.0,57.3,0.123,-0.0178
Canada,74.4,36.7,26.5,85.1,51.1,0.091,-0.0401
Bosnia-Herzegovina,74.7,23.0,26.0,72.1,61.2,-0.635,-0.1552
Sweden,73.8,20.0,27.0,79.6,59.8,0.024,-0.1657
Japan,72.8,30.6,26.9,78.8,60.7,-0.006,-0.1921
Qatar,72.1,54.7,28.9,66.7,67.4,-0.828,-0.2006
Egypt,72.2,31.6,28.7,82.1,48.4,-0.349,-0.2292
Ghana,71.4,21.6,26.4,85.1,56.6,0.389,-0.3249
Australia,71.0,28.2,26.9,79.5,59.1,-0.024,-0.3474
Curaçao,71.0,23.8,27.5,79.4,61.3,0.085,-0.3483
Haiti,70.1,24.0,27.0,85.4,49.1,0.012,-0.4352
New Zealand,70.0,31.7,27.8,74.4,55.3,-0.729,-0.4554
Iran,69.2,45.0,29.8,74.8,43.7,-1.318,-0.4826
Tunisia,69.9,22.4,26.2,73.8,59.2,-0.577,-0.5294
Uzbekistan,66.3,32.1,27.7,75.3,48.9,-0.988,-0.7718
Saudi Arabia,63.0,35.7,28.0,83.9,54.1,0.136,-0.9117
Iraq,64.1,31.8,26.4,78.6,50.5,-0.578,-0.9371
Jordan,61.3,40.9,28.1,88.0,26.5,-0.957,-1.1235
South Korea,57.0,36.8,27.5,70.3,35.9,-2.181,-1.6004
